annotation,class,PrimaryAnno,SupAnno
ago3Adrian,logical,FALSE,FALSE
AGO3dependent,logical,TRUE,FALSE
anno,logical,FALSE,FALSE
CC125,logical,FALSE,FALSE
CC125specific,logical,TRUE,FALSE
CC1883,logical,FALSE,FALSE
CC1883specific,logical,TRUE,FALSE
CC4350,logical,FALSE,FALSE
CC4350specific,logical,TRUE,FALSE
CDS,logical,FALSE,FALSE
counts20,numeric,FALSE,FALSE
counts21,numeric,FALSE,FALSE
countsA,numeric,FALSE,FALSE
countsall,numeric,FALSE,FALSE
countsallwt,numeric,FALSE,FALSE
countsBig,numeric,FALSE,FALSE
countsC,numeric,FALSE,FALSE
countsG,numeric,FALSE,FALSE
countsminus,numeric,FALSE,FALSE
countsNormal,numeric,FALSE,FALSE
countsnormalwtnorm,numeric,FALSE,FALSE
countsplus,numeric,FALSE,FALSE
countsSmall,numeric,FALSE,FALSE
countsT,numeric,FALSE,FALSE
dcl3Adrian,logical,FALSE,FALSE
DCL3dependent,logical,TRUE,FALSE
exons,logical,TRUE,FALSE
expression,numeric,FALSE,FALSE
expressionClass,ordered,TRUE,FALSE
fiveprimeUTR,logical,FALSE,TRUE
genes,logical,FALSE,TRUE
intergenic,logical,TRUE,FALSE
introns,logical,TRUE,FALSE
irs,logical,TRUE,FALSE
J,logical,FALSE,FALSE
Jspecific,logical,TRUE,FALSE
miRNA,logical,TRUE,FALSE
miRNAGeneID,character,FALSE,FALSE
miRNALocation,character,FALSE,FALSE
miRNAPrevDes,character,FALSE,FALSE
mRNA,logical,FALSE,FALSE
MSAT,logical,FALSE,FALSE
mutantAdrian,logical,FALSE,FALSE
mutantAdrianspecific,logical,FALSE,FALSE
notAGO3dependent,logical,FALSE,FALSE
notDCL3dependent,logical,FALSE,FALSE
phaseClass,ordered,TRUE,FALSE
phased,logical,FALSE,FALSE
phaseScore,numeric,FALSE,FALSE
predominant_5prime_letter,factor,TRUE,FALSE
predominant_sRNA_sizeClass,character,TRUE,FALSE
promoter,logical,TRUE,FALSE
ratio_strand,numeric,FALSE,FALSE
ratio_strand_abs,numeric,FALSE,FALSE
ratio_strand_class,ordered,TRUE,FALSE
ratio20vs21,numeric,FALSE,FALSE
ratio21vs20,numeric,FALSE,FALSE
ratioBigvsNormal,numeric,FALSE,FALSE
ratioSmallvsNormal,numeric,FALSE,FALSE
repetativeSeq,logical,FALSE,FALSE
repetitiveness,numeric,FALSE,FALSE
repetitivenessClass,ordered,TRUE,FALSE
rRNA,logical,FALSE,FALSE
size,integer,FALSE,FALSE
sizeclass,ordered,TRUE,FALSE
TE_Class_DNA,logical,TRUE,FALSE
TE_Class_RET,logical,TRUE,FALSE
TE_Copia,logical,FALSE,TRUE
TE_DIRS,logical,FALSE,TRUE
TE_DualenRandI,logical,FALSE,TRUE
TE_EnSpm,logical,FALSE,TRUE
TE_Gulliver,logical,FALSE,TRUE
TE_Gypsy,logical,FALSE,TRUE
TE_hAT,logical,FALSE,TRUE
TE_L1,logical,FALSE,TRUE
TE_Mariner,logical,FALSE,TRUE
TE_Novosib,logical,FALSE,TRUE
TE_Order_DIRS,logical,FALSE,TRUE
TE_Order_LINE,logical,FALSE,TRUE
TE_Order_LTR,logical,FALSE,TRUE
TE_Order_SINE,logical,FALSE,TRUE
TE_Order_TIR,logical,FALSE,TRUE
TE_P,logical,FALSE,TRUE
TE_REM1,logical,FALSE,TRUE
TE_RTE,logical,FALSE,TRUE
TE_TCR1,logical,FALSE,TRUE
TE_TOC1,logical,FALSE,TRUE
TE_TOC2,logical,FALSE,TRUE
threeprimeUTR,logical,FALSE,TRUE
transposons,logical,FALSE,FALSE
trs,logical,TRUE,FALSE
vegetative,logical,FALSE,FALSE
vegetativespecific,logical,TRUE,FALSE
wtAdrian,logical,FALSE,FALSE
wtAdrianspecific,logical,FALSE,FALSE
zygote,logical,FALSE,FALSE
zygotespecific,logical,TRUE,FALSE
methCG,logical,FALSE,TRUE
methCHG,logical,FALSE,TRUE
methCHH,logical,FALSE,TRUE
methAll,logical,TRUE,FALSE
