SearchTerm,Name,Superfamily,Class,Order
DNA,DNA,Undefined,DNA,Undefined
DNA-1,DNA.NonAut,Undefined,DNA,Undefined
DNA-2,DNA.NonAut,Undefined,DNA,Undefined
DNA-3,DNA.NonAut,Undefined,DNA,Undefined
DNA3,DNA.NonAut,Undefined,DNA,Undefined
DNA-4,DNA.NonAut,Undefined,DNA,Undefined
DNAX1,DNA.NonAut,Undefined,DNA,Undefined
hAT,TIR.hAT,Undefined,DNA,TIR
EnSpm,TIR.EnSpm,EnSpm,DNA,TIR
Gulliver,TIR.Gulliver,Gulliver,DNA,TIR
Harbinger,TIR.Harbinger,Harbinger,DNA,TIR
hAT,TIR.hAT,hAT,DNA,TIR
Mariner,TIR.Mariner,Mariner,DNA,TIR
Novosib,TIR.Novosib,Novosib,DNA,TIR
P-1,TIR.P,P,DNA,TIR
P-2,TIR.P,P,DNA,TIR
DNA-8,TIR.P,P,DNA,TIR
TCR1,TIR.TCR1,TCR1,DNA,TIR
TOC2,TIR.TOC2,TOC2,DNA,TIR
DIRS,DIRS,DIRS,RET,DIRS
RandI,LINE.DualenRandI,DualenRandI,RET,LINE
L1,LINE.L1,L1,RET,LINE
RTE,LINE.RTE,RTE,RET,LINE
LTR1,LTR,Undefined,RET,LTR
LTR2,LTR,Undefined,RET,LTR
LTR3,LTR,Undefined,RET,LTR
LTR4,LTR,Undefined,RET,LTR
Copia,LTR.Copia,Copia,RET,LTR
Gypsy,LTR.Gypsy,Gypsy,RET,LTR
REM1,LTR.REM1,REM1,RET,LTR
nonLTR,nonLTR,Undefined,RET,Undefined
SINE,SINE,Undefined,RET,SINE
TOC1,LTR.TOC1,TOC1,RET,LTR
TE1,Un.TE1,Undefined,Undefined,Undefined
TE2,Un.TE2,Undefined,Undefined,Undefined
rich,Unknown,Unknown,Unknown,Unknown
)n,Unknown,Unknown,Unknown,Unknown
rnd,Unknown,Unknown,Unknown,Unknown
REP,Unknown,Unknown,Unknown,Unknown
